STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Fréquence d'observation,REF_AREA,Fréquence d'observation,MEASURE,Mesure,CATEGORY,Catégorie de recettes provenant des taxes liées à l'environnement,DOMAIN,Domaine de recettes provenant des taxes liées à l'environnement,UNIT_MEASURE,Unit of measure,ACTIVITY,Activité économique,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,PRICE_BASE,Type de prix,OBS_STATUS,Statut d'observation,OBS_STATUS_2,Statut d'observation 2,DECIMALS,Décimales,UNIT_MULT,Multiplicateur d'unité,REF_YEAR_PRICE,Reference year price,CURRENCY,Currency
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LVA,Lettonie,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2007,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LVA,Lettonie,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2008,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LVA,Lettonie,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2009,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LVA,Lettonie,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2010,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LVA,Lettonie,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2011,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LVA,Lettonie,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2012,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LVA,Lettonie,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2013,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LVA,Lettonie,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2014,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,GRC,Grèce,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2015,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LVA,Lettonie,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2015,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,GRC,Grèce,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2016,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LVA,Lettonie,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2016,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,GRC,Grèce,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2017,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LVA,Lettonie,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2017,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,GRC,Grèce,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2018,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LVA,Lettonie,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2018,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,GRC,Grèce,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2019,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LVA,Lettonie,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2019,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,GRC,Grèce,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2020,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LVA,Lettonie,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2020,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,GRC,Grèce,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2021,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LVA,Lettonie,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2021,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,GRC,Grèce,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2022,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LVA,Lettonie,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2022,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,GRC,Grèce,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2023,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LVA,Lettonie,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2023,,,,,,O,Missing value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LUX,Luxembourg,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2023,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,CYP,Chypre,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2023,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LUX,Luxembourg,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2021,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,CYP,Chypre,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2021,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LUX,Luxembourg,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2022,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,CYP,Chypre,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2022,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LUX,Luxembourg,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2020,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,CYP,Chypre,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2020,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LUX,Luxembourg,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2019,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,CYP,Chypre,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2019,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LUX,Luxembourg,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2018,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,CYP,Chypre,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2018,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LUX,Luxembourg,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2017,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,CYP,Chypre,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2017,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LUX,Luxembourg,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2016,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,CYP,Chypre,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2016,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LUX,Luxembourg,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2015,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,CYP,Chypre,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2015,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LUX,Luxembourg,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2014,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,CYP,Chypre,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2014,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LUX,Luxembourg,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2013,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,ESP,Espagne,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2013,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,CYP,Chypre,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2013,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LUX,Luxembourg,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2012,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,ESP,Espagne,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2012,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,CYP,Chypre,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2012,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LUX,Luxembourg,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2011,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,ESP,Espagne,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2011,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,CYP,Chypre,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2011,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LUX,Luxembourg,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2010,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,ESP,Espagne,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2010,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,CYP,Chypre,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2010,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LUX,Luxembourg,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2009,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,ESP,Espagne,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2009,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,CYP,Chypre,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2009,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LUX,Luxembourg,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2008,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,ESP,Espagne,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2008,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,CYP,Chypre,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2008,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LUX,Luxembourg,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2007,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,ESP,Espagne,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2007,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,CYP,Chypre,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2007,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LUX,Luxembourg,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2006,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,ESP,Espagne,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2006,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,CYP,Chypre,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2006,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LUX,Luxembourg,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2005,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,ESP,Espagne,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2005,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,CYP,Chypre,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2005,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LUX,Luxembourg,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2004,,0,,,,A,Normal value,,,2,Two,6,Millions,,,,
